threshold,official_recall,official_fdr,ship_recall,ship_fdr,aircraft_recall,aircraft_fdr,vehicle_recall,vehicle_fdr,merged_tp,merged_fp,merged_fn,merged_recall,merged_fdr
0.001,0.882405,0.773846,0.799829,0.798478,0.994444,0.673320,0.852941,0.849741,2846,5703,125,0.957927,0.667096
0.005,0.854233,0.469402,0.722298,0.640316,0.987460,0.398325,0.852941,0.369565,2821,1815,150,0.949512,0.391501
0.01,0.850736,0.368729,0.712344,0.574525,0.986922,0.294819,0.852941,0.236842,2813,1192,158,0.946819,0.297628
0.02,0.845418,0.279192,0.697952,0.455968,0.985360,0.210180,0.852941,0.171429,2799,813,172,0.942107,0.225083
0.03,0.844146,0.221388,0.697213,0.345764,0.982285,0.171342,0.852941,0.147059,2793,667,178,0.940088,0.192775
0.05,0.841367,0.178500,0.690756,0.284761,0.980404,0.129528,0.852941,0.121212,2783,518,188,0.936722,0.156922
0.075,0.827072,0.170824,0.653050,0.288470,0.975225,0.102791,0.852941,0.121212,2769,430,202,0.932009,0.134417
0.1,0.825136,0.153987,0.648073,0.282289,0.974395,0.085921,0.852941,0.093750,2763,380,208,0.929990,0.120904
0.15,0.822579,0.146139,0.644475,0.274458,0.970320,0.070209,0.852941,0.093750,2753,322,218,0.926624,0.104715
0.2,0.820557,0.137764,0.640877,0.259731,0.967851,0.059810,0.852941,0.093750,2744,283,227,0.923595,0.093492
0.25,0.818255,0.134740,0.638759,0.259640,0.963066,0.050828,0.852941,0.093750,2736,258,235,0.920902,0.086172
0.3,0.815756,0.124700,0.633782,0.235286,0.960546,0.045064,0.852941,0.093750,2729,238,242,0.918546,0.080216
0.4,0.769916,0.120077,0.504544,0.230299,0.952262,0.036181,0.852941,0.093750,2711,204,260,0.912487,0.069983
0.5,0.756502,0.117412,0.501686,0.223426,0.944290,0.032035,0.823529,0.096774,2694,181,277,0.906765,0.062957
0.7,0.695957,0.124530,0.331784,0.257033,0.932558,0.019784,0.823529,0.096774,2660,134,311,0.895321,0.047960
0.9,0.672093,0.061210,0.311776,0.072275,0.910386,0.011355,0.794118,0.100000,2598,89,373,0.874453,0.033122
