category_id,name,threshold,tp,fp,fn,recall,fdr,precision
0,HM,0.373598039,2,0,0,1.000000,0.000000,1.000000
1,LQS,0.00214127009,5,65,3,0.625000,0.928571,0.071429
2,QHS,0.0042520361,92,78,26,0.779661,0.458824,0.541176
3,MS,0.00989973731,253,149,85,0.748521,0.370647,0.629353
4,A1_SU-35,0.416985035,172,19,3,0.982857,0.099476,0.900524
5,A2_C-130,0.853077054,182,0,4,0.978495,0.000000,1.000000
6,A3_C-17,0.432257205,178,3,0,1.000000,0.016575,0.983425
7,A4_C-5,0.196231052,80,6,1,0.987654,0.069767,0.930233
8,A5_F-16,0.44585219,127,6,5,0.962121,0.045113,0.954887
9,A6_TU-160,0.902583957,72,0,0,1.000000,0.000000,1.000000
10,A7_E-3,0.668825626,67,0,0,1.000000,0.000000,1.000000
11,A8_B-52,0.232521161,91,2,0,1.000000,0.021505,0.978495
12,A9_P-3C,0.857355416,74,1,1,0.986667,0.013333,0.986667
13,A10_B-1B,0.987652659,109,0,0,1.000000,0.000000,1.000000
14,A11_E-8,0.162874818,57,8,7,0.890625,0.123077,0.876923
15,A12_TU-22,0.816857219,98,0,0,1.000000,0.000000,1.000000
16,A13_F-15,0.668944299,155,7,10,0.939394,0.043210,0.956790
17,A14_KC-135,0.888088822,200,12,13,0.938967,0.056604,0.943396
18,A15_F-22,0.333161205,39,0,3,0.928571,0.000000,1.000000
19,A16_FA-18,0.0455316417,233,16,2,0.991489,0.064257,0.935743
20,A17_TU-95,0.872438133,165,0,1,0.993976,0.000000,1.000000
21,A18_KC-10,0.0265809633,50,4,1,0.980392,0.074074,0.925926
22,A19_SU-34,0.0861387998,160,16,8,0.952381,0.090909,0.909091
23,A20_SU-24,0.514421403,99,1,4,0.961165,0.010000,0.990000
24,FSC,0.432478338,29,3,5,0.852941,0.093750,0.906250
